adult,budget,genres,id,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count
False,0,"['Romance', 'Drama']",448115,"In EDO, the fabulous wonderland where only men exist, the most beautiful courtesan is Shiratori Dayū. His apprentice's suicide made him desolate, and he finds love when he meets the most popular and sexy candy boy, Furimatsu, at the ""Candy Shop."" However, the town of EDO bans romantic relationships, and a rare disease starts to spread.",0.773,['Japan'],2015-02-28,0,79,['日本語'],Released,Candy Boys,False,1.0,1
False,0,['Drama'],379277,"Eric leads a carefree life in Berlin. He loves his girlfriend Verena, but family, attachment and responsibility are foreign words for him. When he learns of the death of his brother, who lived as a dairy farmer in Saxony-Anhalt, Eric wants to wind up the insolvent farm as quickly as possible and deport Christoph's children to foster parents. When he realizes that the price dumping of the milk cartels drove his brother to his death he tells the big dairies to fight.",0.787,"['Austria', 'Germany']",2015-08-28,0,90,['Deutsch'],Released,Die Kinder meines Bruders,False,5.3,3
False,0,[],374965,"Based on Urdu novel Jheel Jalti Hai, the film aspires to be an iconic love story of Jamaal (Faissal Khan) and Suraiyya (Inayat Sharma). Sadly, more than the somber story, the experience of watching this film is more tragic.",0.773,[],2015-10-16,0,116,[],Released,Chinar Daastaan-E-Ishq,False,6.0,2
False,0,['Action'],342698,"Anbarasu, a carefree son of a corrupt police constable, thwarts an encounter planned by Chandrasekar, an undercover cop. Anbu becomes an unwitting pawn in Chandrasekar's next attempt on the gangster's life but that operation, too, fails. Now, both the cop and the criminal are after Anbu.",0.817,['India'],2015-06-26,0,0,['தமிழ்'],Released,Kaaval,False,5.5,4
False,0,['Documentary'],325419,"This essay film tells of the ocean as a place of yearning, of the world of giant container ships and their crews, and the women that wait for them in ports and drinking holes. The protagonists' thoughts are rendered as inner monologues in voiceover, all set to striking documentary images.",1.217,['France'],2015-02-10,0,73,"['Français', 'ελληνικά', 'Português', 'Español']",Released,"Exotica, Erotica, Etc.",False,6.7,9
False,0,['Action'],673166,Captain Power si the superhero star at Global Electric. It only takes a mistake to lose what he thinks is most important in his life. How will our superhero cushion his fall?,1.198,[],2015-11-22,0,15,['English'],Released,Powerless,False,0.0,0
False,0,"['Crime', 'Drama', 'Mystery', 'Thriller']",517581,"Five years after taking the fall for his younger brother, a tormented ex-con flees parole to find his kidnapped baby niece. One step ahead of the police, and one behind an unraveling criminal syndicate, he must once again sacrifice everything in the name of family.",0.817,['Canada'],2015-09-11,0,90,['English'],Released,Gone Tomorrow,False,6.4,4
False,0,"['TV Movie', 'Comedy', 'Drama']",340921,,0.773,['Germany'],2015-05-15,0,0,['Deutsch'],Released,Letzte Ausfahrt Sauerland,False,5.0,1
False,0,"['Drama', 'Documentary', 'Adventure']",294136,"Africa's elephants are hurtling towards extinction to fuel the worldwide ivory trade. While conservationists howl and corrupt governments fail to address the ongoing slaughter, one brave family has been working for decades to stem the tide, one elephant at a time. Gardeners of Eden is a gripping, first-person experience inside the operations of Kenya's David Sheldrick Wildlife Trust. From the front lines of the crisis, we witness their heroic efforts to stop the poachers in the bush, rescue the orphans of slain elephants and raise them by hand, until one day, returning them to their home in the wild.",0.787,"['Kenya', 'United States of America']",2015-04-24,0,62,['English'],Released,Gardeners of Eden,False,7.667,3
False,0,"['War', 'Documentary']",410987,Follows acclaimed actor Stephen Lang as he tracks the ten year odyssey behind his one-man show about eight medal of honor recipients.,1.757,[],2015-10-14,0,78,[],Released,Beyond Glory,False,6.5,2
